Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1962,Group 2,Nacional,Italy,3,0,Switzerland,LATYCHEV Nikolaj (URS),ITA,SUI
1962,Quarter-finals,Carlos Dittborn,Chile,2,1,Soviet Union,HORN Leo (NED),CHI,URS
1962,Quarter-finals,Estadio Sausalito,Brazil,3,1,England,SCHWINTE Pierre (FRA),BRA,ENG
1962,Quarter-finals,Estadio El Teniente-Codelco,Czechoslovakia,1,0,Hungary,LATYCHEV Nikolaj (URS),TCH,HUN
1962,Quarter-finals,Nacional,Yugoslavia,1,0,Germany FR,YAMASAKI MALDONADO Arturo (MEX),YUG,FRG
1962,Semi-finals,Estadio Sausalito,Czechoslovakia,3,1,Yugoslavia,DIENST Gottfried (SUI),TCH,YUG
1962,Semi-finals,Nacional,Brazil,4,2,Chile,YAMASAKI MALDONADO Arturo (MEX),BRA,CHI
1962,Match for third place,Nacional,Chile,1,0,Yugoslavia,GARDEAZABAL Juan (ESP),CHI,YUG
1962,Final,Nacional,Brazil,3,1,Czechoslovakia,LATYCHEV Nikolaj (URS),BRA,TCH
1966,Group 1,Wembley Stadium,England,0,0,Uruguay,ZSOLT Istvan (HUN),ENG,URU
1966,Group 2,Hillsborough,Germany FR,5,0,Switzerland,PHILLIPS Hugh (SCO),FRG,SUI
1966,Group 3,Goodison Park,Brazil,2,0,Bulgaria,TSCHENSCHER Kurt (GER),BRA,BUL
1966,Group 4,Ayresome Park,Soviet Union,3,0,Korea DPR,GARDEAZABAL Juan (ESP),URS,PRK
1966,Group 1,Wembley Stadium,France,1,1,Mexico,ASHKENAZI Menachem (ISR),FRA,MEX
1966,Group 3,Old Trafford Stadium,Portugal,3,1,Hungary,CALLAGHAN Leo (WAL),POR,HUN
1966,Group 2,Villa Park,Argentina,2,1,Spain,RUMENTCHEV Dimitar (BUL),ARG,ESP
1966,Group 4,Roker Park Ground,Italy,2,0,Chile,DIENST Gottfried (SUI),ITA,CHI
1966,Group 1,White City,Uruguay,2,1,France,GALBA Karol (TCH),URU,FRA
1966,Group 2,Hillsborough,Spain,2,1,Switzerland,BAKHRAMOV Tofik (URS),ESP,SUI
1966,Group 3,Goodison Park,Hungary,3,1,Brazil,DAGNALL Kenneth (ENG),HUN,BRA
1966,Group 4,Ayresome Park,Korea DPR,1,1,Chile,KANDIL Aly Hussein (EGY),PRK,CHI
1966,Group 3,Old Trafford Stadium,Portugal,3,0,Bulgaria,CODESAL Jose Maria (URU),POR,BUL
1966,Group 2,Villa Park,Germany FR,0,0,Argentina,ZECEVIC Konstantin (YUG),FRG,ARG
1966,Group 4,Roker Park Ground,Soviet Union,1,0,Italy,KREITLEIN Rudolf (GER),URS,ITA
1966,Group 1,Wembley Stadium,England,2,0,Mexico,LO BELLO Concetto (ITA),ENG,MEX
1966,Group 1,Wembley Stadium,Uruguay,0,0,Mexico,LOEOEW Bertil (SWE),URU,MEX
1966,Group 2,Hillsborough,Argentina,2,0,Switzerland,FERNANDES CAMPOS Joaquim (POR),ARG,SUI
1966,Group 3,Goodison Park,Portugal,3,1,Brazil,McCABE George (ENG),POR,BRA
1966,Group 4,Ayresome Park,Korea DPR,1,0,Italy,SCHWINTE Pierre (FRA),PRK,ITA
1966,Group 1,Wembley Stadium,England,2,0,France,YAMASAKI MALDONADO Arturo (MEX),ENG,FRA
1966,Group 3,Old Trafford Stadium,Hungary,3,1,Bulgaria,GOICOECHEA Roberto (ARG),HUN,BUL
1966,Group 2,Villa Park,Germany FR,2,1,Spain,MARQUES Armando (BRA),FRG,ESP
1966,Group 4,Roker Park Ground,Soviet Union,2,1,Chile,ADAIR John (NIR),URS,CHI
1966,Quarter-finals,Wembley Stadium,England,1,0,Argentina,KREITLEIN Rudolf (GER),ENG,ARG
1966,Quarter-finals,Hillsborough,Germany FR,4,0,Uruguay,FINNEY Jim (ENG),FRG,URU
1966,Quarter-finals,Roker Park Ground,Soviet Union,2,1,Hungary,GARDEAZABAL Juan (ESP),URS,HUN
1966,Quarter-finals,Goodison Park,Portugal,5,3,Korea DPR,ASHKENAZI Menachem (ISR),POR,PRK
1966,Semi-finals,Goodison Park,Germany FR,2,1,Soviet Union,LO BELLO Concetto (ITA),FRG,URS
1966,Semi-finals,Wembley Stadium,England,2,1,Portugal,SCHWINTE Pierre (FRA),ENG,POR
1966,Match for third place,Wembley Stadium,Portugal,2,1,Soviet Union,DAGNALL Kenneth (ENG),POR,URS
1966,Final,Wembley Stadium,England,4,2,Germany FR,DIENST Gottfried (SUI),ENG,FRG
1970,Group 1,Estadio Azteca,Mexico,0,0,Soviet Union,TSCHENSCHER Kurt (GER),MEX,URS
1970,Group 2,Cuauhtemoc,Uruguay,2,0,Israel,DAVIDSON Bob (SCO),URU,ISR
1970,Group 4,Nou Camp - Estadio Leï¿½n,Peru,3,2,Bulgaria,SBARDELLA Antonio (ITA),PER,BUL
1970,Group 3,Jalisco,England,1,0,Romania,LORAUX Vital (BEL),ENG,ROU
1970,Group 2,Luis Dosal,Italy,1,0,Sweden,TAYLOR John (ENG),ITA,SWE
1970,Group 4,Nou Camp - Estadio Leï¿½n,Germany FR,2,1,Morocco,VAN RAVENS Laurens (NED),FRG,MAR
1970,Group 3,Jalisco,Brazil,4,1,Czechoslovakia,BARRETO RUIZ Ramon (URU),BRA,TCH
1970,Group 1,Estadio Azteca,Belgium,3,0,El Salvador,RADULESCU Andrei (ROU),BEL,SLV
1970,Group 2,Cuauhtemoc,Uruguay,0,0,Italy,GLOECKNER Rudolf (GDR),URU,ITA
1970,Group 4,Nou Camp - Estadio Leï¿½n,Peru,3,0,Morocco,BAKHRAMOV Tofik (URS),PER,MAR
1970,Group 3,Jalisco,Romania,2,1,Czechoslovakia,DE LEO Diego (MEX),ROU,TCH
1970,Group 1,Estadio Azteca,Soviet Union,4,1,Belgium,SCHEURER Ruedi (SUI),URS,BEL
1970,Group 2,Luis Dosal,Sweden,1,1,Israel,TAREKEGN Seyoum (ETH),SWE,ISR
1970,Group 4,Nou Camp - Estadio Leï¿½n,Germany FR,5,2,Bulgaria,ORTIZ DE MENDIBIL Jose Maria (ESP),FRG,BUL
1970,Group 3,Jalisco,Brazil,1,0,England,KLEIN Abraham (ISR),BRA,ENG
1970,Group 1,Estadio Azteca,Mexico,4,0,El Salvador,KANDIL Aly Hussein (EGY),MEX,SLV
1970,Group 2,Cuauhtemoc,Sweden,1,0,Uruguay,LANDAUER Henry (USA),SWE,URU
1970,Group 4,Nou Camp - Estadio Leï¿½n,Germany FR,3,1,Peru,AGUILAR ELIZALDE Abel (MEX),FRG,PER
1970,Group 3,Jalisco,Brazil,3,2,Romania,MARSCHALL Ferdinand (AUT),BRA,ROU
1970,Group 1,Estadio Azteca,Soviet Union,2,0,El Salvador,HORMAZABAL DIAZ Rafael (CHI),URS,SLV
1970,Group 2,Luis Dosal,Italy,0,0,Israel,DE MORAES Ayrton Vieira (BRA),ITA,ISR
1970,Group 4,Nou Camp - Estadio Leï¿½n,Bulgaria,1,1,Morocco,SALDANHA RIBEIRO Antonio (POR),BUL,MAR
1970,Group 3,Jalisco,England,1,0,Czechoslovakia,MACHIN Roger (FRA),ENG,TCH
1970,Group 1,Estadio Azteca,Mexico,1,0,Belgium,COEREZZA Norberto Angel (ARG),MEX,BEL
1970,Quarter-finals,Luis Dosal,Italy,4,1,Mexico,SCHEURER Ruedi (SUI),ITA,MEX
1970,Quarter-finals,Nou Camp - Estadio Leï¿½n,Germany FR,3,2,England,COEREZZA Norberto Angel (ARG),FRG,ENG
1970,Quarter-finals,Jalisco,Brazil,4,2,Peru,LORAUX Vital (BEL),BRA,PER
1970,Quarter-finals,Estadio Azteca,Uruguay,1,0,Soviet Union,VAN RAVENS Laurens (NED),URU,URS
1970,Semi-finals,Jalisco,Brazil,3,1,Uruguay,ORTIZ DE MENDIBIL Jose Maria (ESP),BRA,URU
1970,Semi-finals,Estadio Azteca,Italy,4,3,Germany FR,YAMASAKI MALDONADO Arturo (MEX),ITA,FRG
1970,Match for third place,Estadio Azteca,Germany FR,1,0,Uruguay,SBARDELLA Antonio (ITA),FRG,URU
1970,Final,Estadio Azteca,Brazil,4,1,Italy,GLOECKNER Rudolf (GDR),BRA,ITA
1974,Group 2,Waldstadion,Brazil,0,0,Yugoslavia,SCHEURER Ruedi (SUI),BRA,YUG
1974,Group 1,Olympiastadion,Germany FR,1,0,Chile,BABACAN Dogan (TUR),FRG,CHI
1974,Group 1,Volksparkstadion,German DR,2,0,Australia,NDIAYE Youssou (SEN),GDR,AUS
1974,Group 2,Westfalenstadion,Zaire,0,2,Scotland,SCHULENBURG Gerhard (GER),ZAI,SCO
1974,Group 3,Niedersachsenstadion,Uruguay,0,2,Netherlands,PALOTAI Karoly (HUN),URU,NED
1974,Group 3,Rheinstadion,Sweden,0,0,Bulgaria,PEREZ NUNEZ Edison A. (PER),SWE,BUL
1974,Group 4,Olympiastadion,Italy,3,1,Haiti,LLOBREGAT Vicente (VEN),ITA,HAI
1974,Group 4,Neckarstadion,Poland,3,2,Argentina,THOMAS Clive (WAL),POL,ARG
1974,Group 1,Volksparkstadion,Australia,0,3,Germany FR,KAMEL Mahmoud (EGY),AUS,FRG
1974,Group 2,Waldstadion,Scotland,0,0,Brazil,VAN GEMERT Arie (NED),SCO,BRA
1974,Group 1,Olympiastadion,Chile,1,1,German DR,ANGONESE Aurelio (ITA),CHI,GDR
1974,Group 2,Parkstadion,Yugoslavia,9,0,Zaire,DELGADO Omar (COL),YUG,ZAI
1974,Group 3,Westfalenstadion,Netherlands,0,0,Sweden,WINSEMANN Werner (CAN),NED,SWE
1974,Group 3,Niedersachsenstadion,Bulgaria,1,1,Uruguay,TAYLOR John (ENG),BUL,URU
1974,Group 4,Olympiastadion,Haiti,0,7,Poland,SUPPIAH George (SIN),HAI,POL
1974,Group 4,Neckarstadion,Argentina,1,1,Italy,KAZAKOV Pavel (URS),ARG,ITA
1974,Group 2,Waldstadion,Scotland,1,1,Yugoslavia,GONZALEZ ARCHUNDIA Alfonso (MEX),SCO,YUG
1974,Group 1,Olympiastadion,Australia,0,0,Chile,NAMDAR Jafar (IRN),AUS,CHI
1974,Group 2,Parkstadion,Zaire,0,3,Brazil,RAINEA Nicolae (ROU),ZAI,BRA
1974,Group 1,Volksparkstadion,German DR,1,0,Germany FR,BARRETO RUIZ Ramon (URU),GDR,FRG
1974,Group 3,Westfalenstadion,Bulgaria,1,4,Netherlands,BOSKOVIC Tony (AUS),BUL,NED
1974,Group 4,Olympiastadion,Argentina,4,1,Haiti,SANCHEZ IBANEZ Pablo (ESP),ARG,HAI
1974,Group 3,Rheinstadion,Sweden,3,0,Uruguay,LINEMAYR Erich (AUT),SWE,URU
1974,Group 4,Neckarstadion,Poland,2,1,Italy,WEYLAND Hans Joachim (FRG),POL,ITA
1974,Group B,Rheinstadion,Yugoslavia,0,2,Germany FR,MARQUES Armando (BRA),YUG,FRG
1974,Group A,Niedersachsenstadion,Brazil,1,0,German DR,THOMAS Clive (WAL),BRA,GDR
1974,Group A,Parkstadion,Netherlands,4,0,Argentina,DAVIDSON Bob (SCO),NED,ARG
1974,Group B,Neckarstadion,Sweden,0,1,Poland,BARRETO RUIZ Ramon (URU),SWE,POL
1974,Group A,Niedersachsenstadion,Argentina,1,2,Brazil,LORAUX Vital (BEL),ARG,BRA
1974,Group B,Waldstadion,Poland,2,1,Yugoslavia,GLOECKNER Rudolf (GDR),POL,YUG
1974,Group A,Parkstadion,German DR,0,2,Netherlands,SCHEURER Ruedi (SUI),GDR,NED
1974,Group B,Rheinstadion,Germany FR,4,2,Sweden,KAZAKOV Pavel (URS),FRG,SWE
1974,Group B,Waldstadion,Poland,0,1,Germany FR,LINEMAYR Erich (AUT),POL,FRG
1974,Group A,Westfalenstadion,Netherlands,2,0,Brazil,TSCHENSCHER Kurt (GER),NED,BRA
1974,Group A,Parkstadion,Argentina,1,1,German DR,TAYLOR John (ENG),ARG,GDR
1974,Group B,Rheinstadion,Sweden,2,1,Yugoslavia,PESTARINO Luis (ARG),SWE,YUG
1974,Match for third place,Olympiastadion,Brazil,0,1,Poland,ANGONESE Aurelio (ITA),BRA,POL
1974,Final,Olympiastadion,Netherlands,1,2,Germany FR,TAYLOR John (ENG),NED,FRG
1978,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Germany FR,0,0,Poland,COEREZZA Norberto Angel (ARG),FRG,POL
1978,Group 1,Estadio Josï¿½ Marï¿½a Minella,Italy,2,1,France,RAINEA Nicolae (ROU),ITA,FRA
1978,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Tunisia,3,1,Mexico,GORDON John (SCO),TUN,MEX
1978,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Argentina,2,1,Hungary,GARRIDO Antonio (POR),ARG,HUN
1978,Group 3,Estadio Josï¿½ Marï¿½a Minella,Sweden,1,1,Brazil,THOMAS Clive (WAL),SWE,BRA
1978,Group 3,Jose Amalfitani,Austria,2,1,Spain,PALOTAI Karoly (HUN),AUT,ESP
1978,Group 4,Estadio Olï¿½mpico Chateau Carreras,Peru,3,1,Scotland,ERIKSSON Ulf (SWE),PER,SCO
1978,Group 4,San Martin,Netherlands,3,0,IR Iran,GONZALEZ ARCHUNDIA Alfonso (MEX),NED,IRN
1978,Group 1,Estadio Josï¿½ Marï¿½a Minella,Italy,3,1,Hungary,BARRETO RUIZ Ramon (URU),ITA,HUN
1978,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Poland,1,0,Tunisia,MARTINEZ Angel (ESP),POL,TUN
1978,Group 2,Estadio Olï¿½mpico Chateau Carreras,Germany FR,6,0,Mexico,BOUZO Farouk (SYR),FRG,MEX
1978,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Argentina,2,1,France,DUBACH Jean (SUI),ARG,FRA
1978,Group 3,Estadio Josï¿½ Marï¿½a Minella,Brazil,0,0,Spain,GONELLA Sergio (ITA),BRA,ESP
1978,Group 3,Jose Amalfitani,Austria,1,0,Sweden,CORVER Charles (NED),AUT,SWE
1978,Group 4,Estadio Olï¿½mpico Chateau Carreras,Scotland,1,1,IR Iran,NDIAYE Youssou (SEN),SCO,IRN
1978,Group 4,San Martin,Netherlands,0,0,Peru,PROKOP Adolf (GDR),NED,PER
1978,Group 1,Estadio Josï¿½ Marï¿½a Minella,France,3,1,Hungary,COELHO Arnaldo (BRA),FRA,HUN
1978,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Poland,3,1,Mexico,NAMDAR Jafar (IRN),POL,MEX
1978,Group 2,Estadio Olï¿½mpico Chateau Carreras,Germany FR,0,0,Tunisia,OROZCO GUERRERO Cesar (PER),FRG,TUN
1978,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Italy,1,0,Argentina,KLEIN Abraham (ISR),ITA,ARG
1978,Group 3,Estadio Josï¿½ Marï¿½a Minella,Brazil,1,0,Austria,WURTZ Robert (FRA),BRA,AUT
1978,Group 3,Jose Amalfitani,Spain,1,0,Sweden,BIWERSI Ferdinand (GER),ESP,SWE
1978,Group 4,Estadio Olï¿½mpico Chateau Carreras,Peru,4,1,Iran,JARGUZ Alojzy (POL),PER,IRN
1978,Group 4,San Martin,Scotland,3,2,Netherlands,LINEMAYR Erich (AUT),SCO,NED
1978,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Germany FR,0,0,Italy,MAKSIMOVIC Dusan (SCG),FRG,ITA
1978,Group A,Estadio Olï¿½mpico Chateau Carreras,Netherlands,5,1,Austria,GORDON John (SCO),NED,AUT
1978,Group B,San Martin,Brazil,3,0,Peru,RAINEA Nicolae (ROU),BRA,PER
1978,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Argentina,2,0,Poland,ERIKSSON Ulf (SWE),ARG,POL
1978,Group B,San Martin,Poland,1,0,Peru,PARTRIDGE Pat (ENG),POL,PER
1978,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Italy,1,0,Austria,RION Francis (BEL),ITA,AUT
1978,Group A,Estadio Olï¿½mpico Chateau Carreras,Germany FR,2,2,Netherlands,BARRETO RUIZ Ramon (URU),FRG,NED
1978,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Argentina,0,0,Brazil,PALOTAI Karoly (HUN),ARG,BRA
1978,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Netherlands,2,1,Italy,MARTINEZ Angel (ESP),NED,ITA
1978,Group A,Estadio Olï¿½mpico Chateau Carreras,Austria,3,2,Germany FR,KLEIN Abraham (ISR),AUT,FRG
1978,Group B,San Martin,Brazil,3,1,Poland,SILVAGNO CAVANNA Juan (CHI),BRA,POL
1978,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Argentina,6,0,Peru,WURTZ Robert (FRA),ARG,PER
1978,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Brazil,2,1,Italy,KLEIN Abraham (ISR),BRA,ITA
1978,Final,El Monumental - Estadio Monumental Antonio Vespuci,Argentina,3,1,Netherlands,GONELLA Sergio (ITA),ARG,NED
1982,Group 3,Camp Nou,Argentina,0,1,Belgium,CHRISTOV Vojtech (TCH),ARG,BEL
1982,Group 1,Estadio Municipal de Balaï¿½dos,Italy,0,0,Poland,VAUTROT Michel (FRA),ITA,POL
1982,Group 6,Ramon Sanchez Pizjuan,Brazil,2,1,Soviet Union,LAMO CASTILLO Augusto (ESP),BRA,URS
1982,Group 1,Riazor,Peru,0,0,Cameroon,WOEHRER Franz (AUT),PER,CMR
1982,Group 3,Nuevo Estadio,Hungary,10,1,El Salvador,AL DOY Ebrahim (BHR),HUN,SLV
1982,Group 6,La Rosaleda,Scotland,5,2,New Zealand,SOCHA David (USA),SCO,NZL
1982,Group 2,El Molinon,Germany FR,1,2,Algeria,LABO REVOREDO Enrique (PER),FRG,ALG
1982,Group 4,San Mames,England,3,1,France,GARRIDO Antonio (POR),ENG,FRA
1982,Group 5,Luis Casanova,Spain,1,1,Honduras,ITHURRALDE Arturo Andres (ARG),ESP,HON
1982,Group 2,Carlos Tartiere,Chile,0,1,Austria,CARDELLINO DE SAN VICENTE Juan (URU),CHI,AUT
1982,Group 4,Jose Zorrilla,Czechoslovakia,1,1,Kuwait,DWOMOH Benjamin (GHA),TCH,KUW
1982,Group 5,La Romareda,Yugoslavia,0,0,Northern Ireland,FREDRIKSSON Erik (SWE),YUG,NIR
1982,Group 1,Estadio Municipal de Balaï¿½dos,Italy,1,1,Peru,ESCHWEILER Walter (GER),ITA,PER
1982,Group 3,Jose Rico Perez,Argentina,4,1,Hungary,LACARNE Belaid (ALG),ARG,HUN
1982,Group 6,Benito Villamarin,Brazil,4,1,Scotland,SILES Jesus Paulino (CRC),BRA,SCO
1982,Group 1,Riazor,Poland,0,0,Cameroon,PONNET Alexis (BEL),POL,CMR
1982,Group 3,Nuevo Estadio,Belgium,1,0,El Salvador,MOFFATT Malcolm (NIR),BEL,SLV
1982,Group 6,La Rosaleda,Soviet Union,3,0,New Zealand,EL GHOUL Yusef Mohamed (LBY),URS,NZL
1982,Group 2,El Molinon,Germany FR,4,1,Chile,GALLER Bruno (SUI),FRG,CHI
1982,Group 4,San Mames,England,2,0,Czechoslovakia,CORVER Charles (NED),ENG,TCH
1982,Group 5,Luis Casanova,Spain,2,1,Yugoslavia,LUND-SORENSEN Henning (DEN),ESP,YUG
1982,Group 2,Carlos Tartiere,Algeria,0,2,Austria,BOSKOVIC Tony (AUS),ALG,AUT
1982,Group 4,Jose Zorrilla,France,4,1,Kuwait,STUPAR Miroslav (URS),FRA,KUW
1982,Group 5,La Romareda,Honduras,1,1,Northern Ireland,CHAN Thomson Tam Sun (HKG),HON,NIR
1982,Group 1,Riazor,Poland,5,1,Peru,RUBIO VAZQUEZ Mario (MEX),POL,PER
1982,Group 3,Nuevo Estadio,Belgium,1,1,Hungary,WHITE Clive (ENG),BEL,HUN
1982,Group 6,La Rosaleda,Soviet Union,2,2,Scotland,RAINEA Nicolae (ROU),URS,SCO
1982,Group 1,Estadio Municipal de Balaï¿½dos,Italy,1,1,Cameroon,DOTCHEV Bogdan (BUL),ITA,CMR
1982,Group 3,Jose Rico Perez,Argentina,2,0,El Salvador,BARRANCOS Luis (BOL),ARG,SLV
1982,Group 6,Benito Villamarin,Brazil,4,0,New Zealand,MATOVINOVIC Damir (CRO),BRA,NZL
1982,Group 2,Carlos Tartiere,Algeria,3,2,Chile,MENDEZ MOLINA Romulo (GUA),ALG,CHI
1982,Group 4,Jose Zorrilla,France,1,1,Czechoslovakia,CASARIN Paolo (ITA),FRA,TCH
1982,Group 5,La Romareda,Honduras,0,1,Yugoslavia,CASTRO Gaston (CHI),HON,YUG
1982,Group 2,El Molinon,Germany FR,1,0,Austria,VALENTINE Robert (SCO),FRG,AUT
1982,Group 4,San Mames,England,1,0,Kuwait,ARISTIZABAL MURCIA Gilberto (COL),ENG,KUW
1982,Group 5,Luis Casanova,Northern Ireland,1,0,Spain,ORTIZ Hector (PAR),NIR,ESP
1982,Group 4,Vicente Calderon,Austria,0,1,France,PALOTAI Karoly (HUN),AUT,FRA
1982,Group 1,Camp Nou,Poland,3,0,Belgium,SILES Jesus Paulino (CRC),POL,BEL
1982,Group 3,Sarria,Italy,2,1,Argentina,RAINEA Nicolae (ROU),ITA,ARG
1982,Group 2,Santiago Bernabeu,Germany FR,0,0,England,COELHO Arnaldo (BRA),FRG,ENG
1982,Group 4,Vicente Calderon,Austria,2,2,Northern Ireland,PROKOP Adolf (GDR),AUT,NIR
1982,Group 1,Camp Nou,Belgium,0,1,Soviet Union,VAUTROT Michel (FRA),BEL,URS
1982,Group 3,Sarria,Argentina,1,3,Brazil,RUBIO VAZQUEZ Mario (MEX),ARG,BRA
1982,Group 2,Santiago Bernabeu,Germany FR,2,1,Spain,CASARIN Paolo (ITA),FRG,ESP
1982,Group 4,Vicente Calderon,France,4,1,Northern Ireland,JARGUZ Alojzy (POL),FRA,NIR
1982,Group 1,Camp Nou,Poland,0,0,Soviet Union,VALENTINE Robert (SCO),POL,URS
1982,Group 3,Sarria,Italy,3,2,Brazil,KLEIN Abraham (ISR),ITA,BRA
1982,Group 2,Santiago Bernabeu,Spain,0,0,England,PONNET Alexis (BEL),ESP,ENG
1982,Semi-finals,Camp Nou,Poland,0,2,Italy,CARDELLINO DE SAN VICENTE Juan (URU),POL,ITA
1982,Semi-finals,Ramon Sanchez Pizjuan,Germany FR,3,3,France,CORVER Charles (NED),FRG,FRA
1982,Match for third place,Jose Rico Perez,Poland,3,2,France,GARRIDO Antonio (POR),POL,FRA
1982,Final,Santiago Bernabeu,Italy,3,1,Germany FR,COELHO Arnaldo (BRA),ITA,FRG
1986,Group A,Estadio Azteca,Bulgaria,1,1,Italy,FREDRIKSSON Erik (SWE),BUL,ITA
1986,Group C,Nou Camp - Estadio Leï¿½n,Canada,0,1,France,SILVA ARCE Hernan (CHI),CAN,FRA
1986,Group D,Jalisco,Spain,0,1,Brazil,BAMBRIDGE Christopher (AUS),ESP,BRA
1986,Group C,Estadio Irapuato,Soviet Union,6,0,Hungary,AGNOLIN Luigi (ITA),URS,HUN
1986,Group A,Estadio Olï¿½mpico Universitario,Argentina,3,1,Korea Republic,SANCHEZ ARMINIO Victoriano (ESP),ARG,KOR
1986,Group F,Estadio Universitario,Morocco,0,0,Poland,MARTINEZ BAZAN Jose Luis (URU),MAR,POL
1986,Group D,Tres de Marzo,Algeria,1,1,Northern Ireland,BUTENKO Valeri (RUS),ALG,NIR
1986,Group B,Estadio Azteca,Belgium,1,2,Mexico,ESPOSITO Carlos (ARG),BEL,MEX
1986,Group F,Tecnologico,Portugal,1,0,England,ROTH Volker (GER),POR,ENG
1986,Group B,Bombonera - Estadio Nemesio Diez,Paraguay,1,0,Iraq,PICON-ACKONG Edwin (MRI),PAR,IRQ
1986,Group E,Neza,Scotland,0,1,Denmark,NEMETH Lajos (HUN),SCO,DEN
1986,Group E,Estadio Corregidora,Uruguay,1,1,Germany FR,CHRISTOV Vojtech (TCH),URU,FRG
1986,Group A,Cuauhtemoc,Italy,1,1,Argentina,KEIZER Jan (NED),ITA,ARG
1986,Group C,Nou Camp - Estadio Leï¿½n,France,1,1,Soviet Union,ARPPI FILHO Romualdo (BRA),FRA,URS
1986,Group A,Estadio Olï¿½mpico Universitario,Korea Republic,1,1,Bulgaria,AL SHANAR Fallaj Khuzam (KSA),KOR,BUL
1986,Group C,Estadio Irapuato,Hungary,2,0,Canada,AL SHARIF Jamal (SYR),HUN,CAN
1986,Group D,Jalisco,Brazil,1,0,Algeria,MENDEZ MOLINA Romulo (GUA),BRA,ALG
1986,Group F,Tecnologico,England,0,0,Morocco,GONZALEZ ROA Gabriel (PAR),ENG,MAR
1986,Group D,Tres de Marzo,Northern Ireland,1,2,Spain,BRUMMEIER Horst (AUT),NIR,ESP
1986,Group B,Estadio Azteca,Mexico,1,1,Paraguay,COURTNEY George (ENG),MEX,PAR
1986,Group F,Estadio Universitario,Poland,1,0,Portugal,BENNACEUR Ali (TUN),POL,POR
1986,Group B,Bombonera - Estadio Nemesio Diez,Iraq,1,2,Belgium,DIAZ PALACIO Jesus (COL),IRQ,BEL
1986,Group E,Neza,Denmark,6,1,Uruguay,MARQUEZ RAMIREZ Antonio (MEX),DEN,URU
1986,Group E,Estadio Corregidora,Germany FR,2,1,Scotland,IGNA Ioan (ROU),FRG,SCO
1986,Group C,Nou Camp - Estadio Leï¿½n,Hungary,0,3,France,SILVA VALENTE Carlos Alberto (POR),HUN,FRA
1986,Group C,Estadio Irapuato,Soviet Union,2,0,Canada,TRAORE Idrissa (MLI),URS,CAN
1986,Group A,Cuauhtemoc,Korea Republic,2,3,Italy,SOCHA David (USA),KOR,ITA
1986,Group A,Estadio Olï¿½mpico Universitario,Argentina,2,0,Bulgaria,ULLOA MORERA Berny (CRC),ARG,BUL
1986,Group B,Bombonera - Estadio Nemesio Diez,Paraguay,2,2,Belgium,DOTCHEV Bogdan (BUL),PAR,BEL
1986,Group B,Estadio Azteca,Iraq,0,1,Mexico,PETROVIC Zoran (SRB),IRQ,MEX
1986,Group F,Tres de Marzo,Portugal,1,3,Morocco,SNODDY Alan (NIR),POR,MAR
1986,Group F,Tecnologico,England,3,0,Poland,DAINA Andre (SUI),ENG,POL
1986,Group D,Jalisco,Northern Ireland,0,3,Brazil,KIRSCHEN Siegfried (GER),NIR,BRA
1986,Group D,Tecnologico,Algeria,0,3,Spain,TAKADA Shizuo (JPN),ALG,ESP
1986,Group E,Neza,Scotland,0,0,Uruguay,QUINIOU Joel (FRA),SCO,URU
1986,Group E,Estadio Corregidora,Denmark,2,0,Germany FR,PONNET Alexis (BEL),DEN,FRG
1986,Round of 16,Nou Camp - Estadio Leï¿½n,Soviet Union,3,4,Belgium,FREDRIKSSON Erik (SWE),URS,BEL
1986,Round of 16,Estadio Azteca,Mexico,2,0,Bulgaria,ARPPI FILHO Romualdo (BRA),MEX,BUL
1986,Round of 16,Cuauhtemoc,Argentina,1,0,Uruguay,AGNOLIN Luigi (ITA),ARG,URU
1986,Round of 16,Jalisco,Brazil,4,0,Poland,ROTH Volker (GER),BRA,POL
1986,Round of 16,Estadio Olï¿½mpico Universitario,Italy,0,2,France,ESPOSITO Carlos (ARG),ITA,FRA
1986,Round of 16,Estadio Universitario,Morocco,0,1,Germany FR,PETROVIC Zoran (SRB),MAR,FRG
1986,Round of 16,Estadio Azteca,England,3,0,Paraguay,AL SHARIF Jamal (SYR),ENG,PAR
1986,Round of 16,Estadio Corregidora,Denmark,1,5,Spain,KEIZER Jan (NED),DEN,ESP
1986,Quarter-finals,Jalisco,Brazil,1,1,France,IGNA Ioan (ROU),BRA,FRA
